salaries|company|location|position
83000|Robert Half Technology|Houston, TX|Software Engineer
103000|Oracle|Houston, TX|Cloud Performance Architect / Software Engineer
61000|Flow-Cal, Inc.|Houston, TX|Software Developer II
89000|Jacobs Engineering|Houston, TX|Orion ECLSS Systems Engineer
92000|Chase|Houston, TX|Java Software Engineer -Iseries
85000|J.P. Morgan|Houston, TX|Associate- Software Engineer
129000|VMware, Inc.|Houston, TX|Sr. Solutions Engineer, vSAN/HCI - Enterprise South Central Texas
80000|IBM|Houston, TX|Site Reliability Engineer
93000|CAKE|Cypress, TX|Senior Software Engineer, Sysco LABS
103000|Energy Transfer Partners|Houston, TX|Engineer - Corrosion
60000|Pape-Dawson Engineers|Houston, TX|Engineer I - Land Development
86000|BravoTECH|Houston, TX|Engineer-RF - I
113000|Exxon Mobile|Houston, TX|Senior Software Engineer
94000|Sysco|Houston, TX|Software Engineer
105000|MapR|Houston, TX|Data Engineer - Solution Design
105000|Oracle|Houston, TX|Software Security Engineer
108000|HP Inc.|Houston, TX|Performance Engineer
92000|Chase|Houston, TX|Software Engineer
110000|Centerpoint Energy|Houston, TX|Engineer (gas) I
85000|Jacobs|Houston, TX|Orion Backup Flight Software Altitude Control Engineer
72000|Bray International, Inc.|Houston, TX|Applications Engineer Technical Sales
61000|Wood|Houston, TX|Engineering Technician
86000|INSYS Group|Houston, TX|Software Engineer - Automation and Data Communication
115000|JPMorgan Chase|Houston, TX|Senior Java Software Engineer - Trading Systems
100000|ThoughtWorks|Houston, TX|Senior Software Developer
78000|RLI Corp|Houston, TX|Software Engineer
117000|Quantlab|Houston, TX|Senior C++ Software Developer
90000|Salesforce|Houston, TX|Summer 2019 Intern - Software Engineer
70000|Dragados|Houston, TX|Field Engineer (Structural)
181000|Jacobs Engineering|Houston, TX|Sr. QA Manager
138000|Oracle|Houston, TX|CX Solution Engineering Manager
62000|American International Group|Houston, TX|Junior Software Engineer
128000|Cyberonics|Houston, TX|Senior Software Engineer
89000|IBM|Houston, TX|Software Engineer
94000|JPMorgan Chase|Houston, TX|Python Software Engineer
121000|Bechtel|Houston, TX|Senior Automation Engineer - WTP
51000|Arup|Houston, TX|Structural Engineering Intern
87000|Air Liquide|Houston, TX|Process Engineer
110000|Applied Optoelectronics|Sugar Land, TX|Production Engineer
73000|Occidental Petroleum|Houston, TX|Engineering Tech
77000|Fortive Corporation|Houston, TX|Support Engineer
65000|Johnson & Johnson|Houston, TX|Principle R&D Design Engineer - Center for Device Innovation @ Texas Medical Center (1 of 2)
72000|Nabors Industries|Houston, TX|Robotics and Automation Software Engineer IV
117000|IBM|Houston, TX|Entry-Level Data Scientist
63000|Bentley Systems|Houston, TX|Structural Technical Support Engineer
93000|J.P. Morgan|Houston, TX|Java Software Developer
104000|Oracle|Houston, TX|Senior Software Engineer - Networking (JoinOCI-Edge)
